state,district,ph,organic_carbon,nitrogen,phosphorus,potassium,sulphur,zinc,boron,iron,manganese,copper,soil_type,rainfall,temperature
Gujarat,District_73,7.927609097633482,0.7743283863110958,227.12504183471785,5.0,264.67887203835323,32.82631204766452,0.8635519604693846,0.8177371002256967,66.20562205186756,10.128099777812144,1.9805579759496554,Desert,1091.9076112928879,22.857788192877823
Punjab,District_38,8.291496058880156,0.30102339096540204,151.010359799482,64.35890105418395,91.49616996060524,27.252911361874368,0.6141451646201754,0.20285809689841114,49.08946123164109,4.181253629987808,3.6563731602965475,Black,929.9590857403207,14.418973120588634
Delhi,District_75,7.195170974299394,0.693976426132023,67.62216082618251,28.73059874715019,252.37503272761384,15.08337813204754,2.365399972682637,0.32504470662671464,33.12920795499509,14.437184019217652,3.0001276025960006,Laterite,570.5540656747477,35.539946957899474
Manipur,District_54,6.968352092816356,0.38725321429760123,183.50759822192288,22.7611837350732,111.19766536104362,12.615953360070538,1.2361625277109836,1.4636918656455813,13.42157287285521,22.134475097355327,4.934234663136558,Red,869.7335089280251,10.0
Karnataka,District_56,5.632407203977747,0.24331986706985195,125.39691559458615,32.8798061912308,125.26224365228872,13.135829507293309,1.023243680901415,1.0402619918578657,14.224027173749542,25.256334665828206,4.094444239910035,Red,409.1341627087453,31.063495925142337
Haryana,District_86,9.184005517487972,0.5984952625529367,77.11646623646136,12.038994999301204,195.69200564320005,13.405894519043002,0.23660595284630792,0.0008322520115224401,50.6365894271533,27.125170263407625,1.721712194505118,Desert,866.054790252244,28.178350354566433
Delhi,District_97,5.098587113947771,0.2783198884016623,205.9573656676384,31.128354574732725,98.46662949060133,18.171164928806473,1.705835108389702,0.40581833992895827,47.01604582339516,16.096449938068407,4.346681210038503,Mountain,506.7666765366874,31.794530849280726
Rajasthan,District_100,6.942480905850194,0.7955121296088011,67.38561560412684,14.107703079758114,144.24242601960088,16.625175725942817,1.964504609267888,0.041977283095543536,35.14260554596639,21.611115067835733,4.538562371037619,Mountain,1203.4618020334085,26.60835476624022
Gujarat,District_87,7.799358804254458,0.9268243032366873,170.30196910203588,58.33317974074304,153.1759761785563,8.268823256752887,0.9191160637605006,0.37364651009525907,51.80862332060705,44.935840292008635,2.4465467540238874,Mountain,1387.1447348658944,18.845950923408687
Uttar Pradesh,District_45,7.816085093037605,1.0590937584906,265.47179006449824,52.75983726338373,74.29271773336167,37.98703844455061,1.3724999825001394,0.07002619753890296,34.851642439857315,6.714253469365563,3.419812717405336,Black,822.3450001243169,24.237530623658976
Odisha,District_34,5.413893091472811,0.2838854525681319,152.49595487032093,37.77219709802613,171.6717398536352,6.9192851876472545,0.9294665515282077,0.7129676956792398,72.84501127489649,5.774516833304832,1.1120670979561678,Mountain,736.1436002727569,15.987621859853798
Tamil Nadu,District_9,6.296116396558891,0.1879841755391086,209.56351973165363,86.37872513538147,97.26695060019932,9.323329253707369,0.49978787698982385,0.19940583257828304,43.86527441902285,7.401580919229795,2.6183955524861102,Black,852.9650664247911,23.564433789949277
Karnataka,District_88,5.841254273458803,0.6201488646502425,225.05431728399324,48.24392671425483,184.35045497092813,2.7178229469781066,0.8997761353014786,0.8849630994571311,25.40037873343315,16.253708389473093,7.0226852330352,Black,862.2613884363645,19.013220621869074
Karnataka,District_8,4.5,1.1007759781083573,295.75646752124845,26.358504017959763,187.8520882257904,35.587383380333655,0.4485511415378296,0.5036765085809067,55.12266819526848,30.548701222053683,1.2466040102900926,Desert,408.2223745170527,25.16772758675346
Telangana,District_7,6.956392090093954,0.8472701095872286,85.69361982178596,5.0,151.53364063979706,12.085618238057794,0.34197450935555046,0.7956197284406524,63.082577595018904,35.3613752407374,1.1351540797059962,Laterite,344.59990737362335,32.042155437180014
Rajasthan,District_36,5.938861524512027,0.29556865390021203,241.90234798777226,35.356595102484455,140.18643946896393,14.811596717583022,0.39231071844983134,1.4041353565867303,16.662773384783744,5.9265645155981765,1.743347470532947,Laterite,378.03620411337846,24.228875043557895
Bihar,District_18,8.606578741653614,0.31889218342355674,168.79084712563164,32.630838375863554,67.13140920039467,11.91621103493813,1.5566216847830088,3.329703706469077,48.68067074337344,26.444734030866883,1.7971217880183041,Mountain,329.18958668800906,44.818616771807356
Haryana,District_3,7.538209325826406,0.3911657511309721,135.54491072370047,27.304394564569748,171.98287428768305,8.5889075754431,0.7233513749144735,1.157742613953175,24.055067939896023,41.89774031489568,0.16510216623872415,Desert,424.77431700901815,35.53056470649774
Telangana,District_28,6.849682340256928,1.0593355450908661,71.13577145693944,56.611022567394066,286.3847731143559,20.35131929413534,0.34305894078785165,0.10447849328773781,46.90615103966045,4.651819551204659,2.1682264860785803,Black,607.4488274633285,10.0
Assam,District_70,6.232760561154957,0.6594998978144955,128.61128156345245,34.48497751365313,188.85396608740862,12.421792580279668,2.384862931106586,0.37174522613815497,60.40718040944725,7.723547399424202,1.3530496049092158,Red,895.5364710958291,28.560650148670963
Sikkim,District_44,6.938139283742809,0.627131015733232,215.75568653565327,5.0,70.93215474042195,19.794219050917523,1.3437163789981845,0.5811435288881587,44.82125680194393,25.83132656450942,1.3145892778024793,Laterite,941.8414886940681,27.75940578750793
Rajasthan,District_21,6.492951420901064,0.1,155.35894902180436,58.38945275368898,166.84280641512518,1.5436659288898975,0.8588878463856973,0.17036643868339124,30.240576158107253,11.131980881990666,2.26438070937109,Mountain,854.8780083854188,25.48432514078905
Arunachal Pradesh,District_28,6.88344693067173,0.5254224590779876,140.8533642802551,37.350367010173144,100.50163059249331,12.790873075589271,0.054106494439104716,0.1928021257621784,48.11836099538973,15.030678763231444,2.5267677918053577,Desert,272.50424374305635,32.41154237103437
Telangana,District_54,9.081962924998361,1.127839863976558,138.2979431722356,20.68342773467264,78.97719804348044,5.036008669931768,1.8554964081550094,0.602616149964889,52.52895632884463,20.725927049653173,7.202478281847343,Laterite,948.8020042343729,31.21223647636373
Kerala,District_54,5.522292613582787,1.056751180998988,124.2893735425562,54.23647482524461,113.57149730416828,16.238915554617815,0.8423689489101789,0.020164821225223672,56.01363913592899,14.646066517613358,4.4948981639309284,Black,514.5541244020717,24.585994302273114
Jammu and Kashmir,District_65,6.597629757622071,0.7079231627796237,163.129568919807,19.1599723586522,219.20748698481822,5.399912728076041,0.46486845356043416,0.047076743799299624,33.86465341072284,6.7854570781659875,2.723532297886251,Desert,961.3943532366865,25.907570442203777
Goa,District_100,7.647666080362669,0.30220626843250853,147.42759325159872,24.20316086342308,97.89156352412691,12.221858258722838,3.349292945523095,1.259487153385116,38.79852771972631,19.75738087400112,0.7794742312189779,Alluvial,635.3923104762528,31.023591528927415
Arunachal Pradesh,District_21,6.31983098985701,0.2585053205735173,105.93892791920192,14.907832702037126,145.69279265614864,17.42279425503998,0.698779269086597,1.1830332304903715,61.496040458241396,21.97733247134193,3.0929399230491956,Red,1003.9062796266352,23.815392030333335
West Bengal,District_99,8.696650208730043,0.47303738903620485,102.19109346453448,12.33973687624788,301.24578511786746,6.022427004977808,0.9777818246980785,0.03187469165459905,19.22664969539106,6.7114306799818735,0.4358753572517181,Red,976.093892556893,44.79620334970244
Rajasthan,District_13,7.614150983614206,1.1254773437593388,105.28866182468973,38.64200732016429,84.96106007198921,45.39737970667736,0.47982348313761564,0.44967948221471943,53.7588193466356,7.504010054531402,1.5796964770140882,Red,607.9925591646481,45.0
Andhra Pradesh,District_57,5.937331501796452,0.1439663343053696,83.58658686710851,17.367058616532717,234.94201393437584,10.247873225678427,0.8040503635150034,1.281400922470607,55.15099025722317,31.281126462984435,0.5804676980023518,Desert,846.6184509382675,32.80872386473961
